TEST register get req
0x0000: 7c
0x6eee: ff
0x6eef: ff
0x6ef0: ff
0x6ef1: ff
0x6ef2: ff
0x6ef3: ff
0x6ef4: ff
0x6ef5: ff
0x6ef6: ff
0x6ef7: ff
0x6ef8: ff
0x6ef9: ff
0x6efa: ff
0x6efb: ff
0x6efc: ff
0x6efd: ff
0x6efe: ff
0x6eff: ff
0x6f00: ff
0x6f01: ff
0x6f02: ff
0x6f03: ff
0x6f04: ff
0x6f05: ff
0x6f06: ff
0x6f07: ff
0x6f08: ff
0x6f09: ff
0x6f0a: ff
0x6f0b: ff
0x6f0c: ff
0x6f0d: ff
0x6f0e: ff
0x6f0f: ff
0x6f10: ff
0x6f11: ff
0x6f12: ff
0x6f13: ff
0x6f14: ff
0x6f15: ff
0x6f16: ff
0x6f17: ff
0x6f18: ff
0x6f19: ff
0x6f1a: ff
0x6f1b: ff
0x6f1c: ff
0x6f1d: ff
0x6f1e: ff
0x6f1f: ff
0x6f20: ff
0x6f21: ff
0x6f22: ff
0x6f23: ff
0x6f24: ff
0x6f25: ff
0x6f26: ff
0x6f27: ff
0x6f28: ff
0x6f29: ff
0x6f2a: ff
0x6f2b: ff
0x6f2c: ff
0x6f2d: ff
0x6f2e: ff
0x6f2f: ff
0x6f30: ff
0x6f31: ff
0x6f32: ff
0x6f33: ff
0x6f34: ff
0x6f35: ff
0x6f36: ff
0x6f37: ff
0x6f38: ff
0x6f39: ff
0x6f3a: ff
0x6f3b: ff
0x6f3c: ff
0x6f3d: ff
0x6f3e: ff
0x6f3f: ff
0x6f40: ff
0x6f41: ff
0x6f42: ff
0x6f43: ff
0x6f44: ff
0x6f45: ff
0x6f46: ff
0x6f47: ff
0x6f48: ff
0x6f49: ff
0x6f4a: ff
0x6f4b: ff
0x6f4c: ff
0x6f4d: ff
0x6f4e: ff
0x6f4f: ff
0x6f50: ff
0x6f51: ff
0x6f52: ff
0x6f53: ff
0x6f54: ff
0x6f55: ff
0x6f56: ff
0x6f57: ff
0x6f58: ff
0x6f59: ff
0x6f5a: ff
0x6f5b: ff
0x6f5c: ff
0x6f5d: ff
0x6f5e: ff
0x6f5f: ff
0x6f60: ff
0x6f61: ff
0x6f62: ff
0x6f63: ff
0x6f64: ff
0x6f65: ff
0x6f66: ff
0x6f67: ff
0x6f68: ff
0x6f69: ff
0x6f6a: ff
0x6f6b: ff
0x6f6c: ff
0x6f6d: ff
0x6f6e: ff
0x6f6f: ff
0x6f70: ff
0x6f71: ff
0x6f72: ff
0x6f73: ff
0x6f74: ff
0x6f75: ff
0x6f76: ff
0x6f77: ff
0x6f78: ff
0x6f79: ff
0x6f7a: ff
0x6f7b: ff
0x6f7c: ff
0x6f7d: ff
0x6f7e: ff
0x6f7f: ff
0x6f80: ff
0x6f81: ff
0x6f82: ff
0x6f83: ff
0x6f84: ff
0x6f85: ff
0x6f86: ff
0x6f87: ff
0x6f88: ff
0x6f89: ff
0x6f8a: ff
0x6f8b: ff
0x6f8c: ff
0x6f8d: ff
0x6f8e: ff
0x6f8f: ff
0x6f90: ff
0x6f91: ff
0x6f92: ff
0x6f93: ff
0x6f94: ff
0x6f95: ff
0x6f96: ff
0x6f97: ff
0x6f98: ff
0x6f99: ff
0x6f9a: ff
0x6f9b: ff
0x6f9c: ff
0x6f9d: ff
0x6f9e: ff
0x6f9f: ff
0x6fa0: ff
0x6fa1: ff
0x6fa2: ff
0x6fa3: ff
0x6fa4: ff
0x6fa5: ff
0x6fa6: ff
0x6fa7: ff
0x6fa8: ff
0x6fa9: ff
0x6faa: ff
0x6fab: ff
0x6fac: ff
0x6fad: ff
0x6fae: ff
0x6faf: ff
0x6fb0: ff
0x6fb1: ff
0x6fb2: ff
0x6fb3: ff
0x6fb4: ff
0x6fb5: ff
0x6fb6: ff
0x6fb7: ff
0x6fb8: ff
0x6fb9: ff
0x6fba: ff
0x6fbb: ff
0x6fbc: ff
0x6fbd: ff
0x6fbe: ff
0x6fbf: ff
0x6fc0: ff
0x6fc1: ff
0x6fc2: ff
0x6fc3: ff
0x6fc4: ff
0x6fc5: ff
0x6fc6: ff
0x6fc7: ff
0x6fc8: ff
0x6fc9: ff
0x6fca: ff
0x6fcb: ff
0x6fcc: ff
0x6fcd: ff
0x6fce: ff
0x6fcf: ff
0x6fd0: ff
0x6fd1: ff
0x6fd2: ff
0x6fd3: ff
0x6fd4: ff
0x6fd5: ff
0x6fd6: ff
0x6fd7: ff
0x6fd8: ff
0x6fd9: ff
0x6fda: ff
0x6fdb: ff
0x6fdc: ff
0x6fdd: ff
0x6fde: ff
0x6fdf: ff
0x6fe0: ff
0x6fe1: ff
0x6fe2: ff
0x6fe3: ff
0x6fe4: ff
0x6fe5: ff
0x6fe6: ff
0x6fe7: ff
0x6fe8: ff
0x6fe9: ff
0x6fea: ff
0x6feb: ff
0x6fec: ff
0x6fed: ff
0x6fee: ff
0x6fef: ff
0x6ff0: ff
0x6ff1: ff
0x6ff2: ff
0x6ff3: ff
0x6ff4: ff
0x6ff5: ff
0x6ff6: ff
0x6ff7: ff
0x6ff8: ff
0x6ff9: ff
0x6ffa: ff
0x6ffb: ff
0x6ffc: ff
0x6ffd: ff
0x6ffe: ff
0x6fff: ff
0xfe00: 5a
0xfe01: 5a
0xfe02: ff
0xfe03: ff
0xfe04: ff
0xfe05: ff
0xfe06: ff
0xfe07: ff
0xfe08: ff
0xfe09: ff
0xfe0a: ff
0xfe0b: 77
0xfe0c: 82
0xfe0d: 3a
0xfe0e: 07
0xfe0f: 71
0xfe10: ff
0xfe11: ff
0xfe12: ff
0xfe13: ff
0xfe14: ff
0xfe15: ff
0xfe16: ff
0xfe17: ff
0xfe18: ff
0xfe19: ff
0xfe1a: ff
0xfe1b: ff
0xfe1c: ff
0xfe1d: ff
0xfe1e: ff
0xfe1f: ff
0xfe20: 3a
0xfe21: 00
0xfe22: ff
0xfe23: 00
0xfe24: ff
0xfe25: ff
0xfe26: ff
0xfe27: ff
0xfe28: ff
0xfe29: ff
0xfe2a: ff
0xfe2b: ff
0xfe2c: ff
0xfe2d: ff
0xfe2e: ff
0xfe2f: ff
0xfe30: ff
0xfe31: ff
0xfe32: ff
0xfe33: ff
0xfe34: ff
0xfe35: ff
0xfe36: ff
0xfe37: ff
0xfe38: ff
0xfe39: ff
0xfe3a: ff
0xfe3b: ff
0xfe3c: ff
0xfe3d: ff
0xfe3e: ff
0xfe3f: ff
0xfe40: ff
0xfe41: ff
0xfe42: ff
0xfe43: ff
0xfe44: ff
0xfe45: ff
0xfe46: ff
0xfe47: ff
0xfe48: ff
0xfe49: ff
0xfe4a: ff
0xfe4b: ff
0xfe4c: ff
0xfe4d: ff
0xfe4e: ff
0xfe4f: ff
0xfe50: ff
0xfe51: ff
0xfe52: ff
0xfe53: ff
0xfe54: ff
0xfe55: ff
0xfe56: ff
0xfe57: ff
0xfe58: ff
0xfe59: ff
0xfe5a: ff
0xfe5b: ff
0xfe5c: ff
0xfe5d: ff
0xfe5e: ff
0xfe5f: ff
0xfe60: ff
0xfe61: ff
0xfe62: ff
0xfe63: ff
0xfe64: ff
0xfe65: ff
0xfe66: ff
0xfe67: ff
0xfe68: ff
0xfe69: ff
0xfe6a: ff
0xfe6b: ff
0xfe6c: ff
0xfe6d: ff
0xfe6e: ff
0xfe6f: ff
0xfe70: ff
0xfe71: ff
0xfe72: ff
0xfe73: ff
0xfe74: ff
0xfe75: ff
0xfe76: ff
0xfe77: ff
0xfe78: ff
0xfe79: ff
0xfe7a: ff
0xfe7b: ff
0xfe7c: ff
0xfe7d: ff
0xfe7e: ff
0xfe7f: ff
0xfe80: ff
0xfe81: ff
0xfe82: ff
0xfe83: ff
0xfe84: ff
0xfe85: ff
0xfe86: ff
0xfe87: ff
0xfe88: ff
0xfe89: ff
0xfe8a: ff
0xfe8b: ff
0xfe8c: ff
0xfe8d: ff
0xfe8e: ff
0xfe8f: ff
0xfe90: ff
0xfe91: ff
0xfe92: ff
0xfe93: ff
0xfe94: ff
0xfe95: ff
0xfe96: ff
0xfe97: ff
0xfe98: ff
0xfe99: ff
0xfe9a: ff
0xfe9b: ff
0xfe9c: ff
0xfe9d: ff
0xfe9e: ff
0xfe9f: ff
0xfea0: ff
0xfea1: ff
0xfea2: ff
0xfea3: ff
0xfea4: ff
0xfea5: ff
0xfea6: ff
0xfea7: ff
0xfea8: ff
0xfea9: ff
0xfeaa: ff
0xfeab: ff
0xfeac: ff
0xfead: ff
0xfeae: ff
0xfeaf: ff
0xfeb0: ff
0xfeb1: ff
0xfeb2: ff
0xfeb3: ff
0xfeb4: ff
0xfeb5: ff
0xfeb6: ff
0xfeb7: ff
0xfeb8: ff
0xfeb9: ff
0xfeba: ff
0xfebb: ff
0xfebc: ff
0xfebd: ff
0xfebe: ff
0xfebf: ff
0xfec0: ff
0xfec1: ff
0xfec2: ff
0xfec3: ff
0xfec4: ff
0xfec5: ff
0xfec6: ff
0xfec7: ff
0xfec8: ff
0xfec9: ff
0xfeca: ff
0xfecb: ff
0xfecc: ff
0xfecd: ff
0xfece: ff
0xfecf: ff
0xfed0: ff
0xfed1: ff
0xfed2: ff
0xfed3: ff
0xfed4: ff
0xfed5: ff
0xfed6: ff
0xfed7: ff
0xfed8: ff
0xfed9: ff
0xfeda: ff
0xfedb: ff
0xfedc: ff
0xfedd: ff
0xfede: ff
0xfedf: ff
0xfee0: ff
0xfee1: ff
0xfee2: ff
0xfee3: ff
0xfee4: ff
0xfee5: ff
0xfee6: ff
0xfee7: ff
0xfee8: ff
0xfee9: ff
0xfeea: ff
0xfeeb: ff
0xfeec: ff
0xfeed: ff
0xfeee: ff
0xfeef: ff
0xfef0: ff
0xfef1: ff
0xfef2: ff
0xfef3: ff
0xfef4: ff
0xfef5: ff
0xfef6: ff
0xfef7: ff
0xfef8: ff
0xfef9: ff
0xfefa: ff
0xfefb: ff
0xfefc: ff
0xfefd: ff
0xfefe: ff
0xfeff: ff
0xff00: ff
0xff01: ff
0xff02: ff
0xff03: ff
0xff04: ff
0xff05: ff
0xff06: ff
0xff07: ff
0xff08: ff
0xff09: ff
0xff0a: ff
0xff0b: ff
0xff0c: ff
0xff0d: ff
0xff0e: ff
0xff0f: ff
0xff10: ff
0xff11: ff
0xff12: ff
0xff13: ff
0xff14: ff
0xff15: ff
0xff16: ff
0xff17: ff
0xff18: ff
0xff19: ff
0xff1a: ff
0xff1b: ff
0xff1c: ff
0xff1d: ff
0xff1e: ff
0xff1f: ff
0xff20: ff
0xff21: ff
0xff22: ff
0xff23: ff
0xff24: ff
0xff25: ff
0xff26: ff
0xff27: ff
0xff28: ff
0xff29: ff
0xff2a: ff
0xff2b: ff
0xff2c: ff
0xff2d: ff
0xff2e: ff
0xff2f: ff
0xff30: ff
0xff31: ff
0xff32: ff
0xff33: ff
0xff34: ff
0xff35: ff
0xff36: ff
0xff37: ff
0xff38: ff
0xff39: ff
0xff3a: ff
0xff3b: ff
0xff3c: ff
0xff3d: ff
0xff3e: ff
0xff3f: ff
0xff40: ff
0xff41: ff
0xff42: ff
0xff43: ff
0xff44: ff
0xff45: ff
0xff46: ff
0xff47: ff
0xff48: ff
0xff49: ff
0xff4a: ff
0xff4b: ff
0xff4c: ff
0xff4d: ff
0xff4e: ff
0xff4f: ff
0xff50: ff
0xff51: ff
0xff52: ff
0xff53: ff
0xff54: ff
0xff55: ff
0xff56: ff
0xff57: ff
0xff58: ff
0xff59: ff
0xff5a: ff
0xff5b: ff
0xff5c: ff
0xff5d: ff
0xff5e: ff
0xff5f: ff
0xff60: ff
0xff61: ff
0xff62: ff
0xff63: ff
0xff64: ff
0xff65: ff
0xff66: ff
0xff67: ff
0xff68: ff
0xff69: ff
0xff6a: ff
0xff6b: ff
0xff6c: ff
0xff6d: ff
0xff6e: ff
0xff6f: ff
0xff70: ff
0xff71: ff
0xff72: ff
0xff73: ff
0xff74: ff
0xff75: ff
0xff76: ff
0xff77: ff
0xff78: ff
0xff79: ff
0xff7a: ff
0xff7b: ff
0xff7c: ff
0xff7d: ff
0xff7e: ff
0xff7f: ff
0xff80: ff
0xff81: ff
0xff82: ff
0xff83: ff
0xff84: ff
0xff85: ff
0xff86: ff
0xff87: ff
0xff88: ff
0xff89: ff
0xff8a: ff
0xff8b: ff
0xff8c: ff
0xff8d: ff
0xff8e: ff
0xff8f: ff
0xff90: ff
0xff91: ff
0xff92: ff
0xff93: ff
0xff94: ff
0xff95: ff
0xff96: ff
0xff97: ff
0xff98: ff
0xff99: ff
0xff9a: ff
0xff9b: ff
0xff9c: ff
0xff9d: ff
0xff9e: ff
0xff9f: ff
0xffa0: ff
0xffa1: ff
0xffa2: ff
0xffa3: ff
0xffa4: ff
0xffa5: ff
0xffa6: ff
0xffa7: ff
0xffa8: ff
0xffa9: ff
0xffaa: ff
0xffab: ff
0xffac: ff
0xffad: ff
0xffae: ff
0xffaf: ff
0xffb0: ff
0xffb1: ff
0xffb2: ff
0xffb3: ff
0xffb4: ff
0xffb5: ff
0xffb6: ff
0xffb7: ff
0xffb8: ff
0xffb9: ff
0xffba: ff
0xffbb: ff
0xffbc: ff
0xffbd: ff
0xffbe: ff
0xffbf: ff
0xffc0: ff
0xffc1: ff
0xffc2: ff
0xffc3: ff
0xffc4: ff
0xffc5: ff
0xffc6: ff
0xffc7: ff
0xffc8: ff
0xffc9: ff
